date,lift_reason,det_facility,city,state,detainer_type
2008-12-25 00:00:00,United States Citizen Interviewed,GEORGIA DEPT OF CORRECTIO,ATLANTA,GEORGIA,
2009-01-06 00:00:00,United States Citizen Interviewed,ELMIRA C.F.,ELMIRA,NEW YORK,
2009-01-08 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2009-01-14 00:00:00,United States Citizen Interviewed,MARION COUNTY JAIL,OCALA,FLORIDA,
2009-01-16 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2009-01-20 00:00:00,United States Citizen Interviewed,COLO DEPT OF CORRECTIONS,COLORADO SPRINGS,COLORADO,
2009-01-26 00:00:00,United States Citizen Interviewed,EL PASO COUNTY JAIL (CO),COLORADO SPRINGS,COLORADO,
2009-02-09 00:00:00,United States Citizen Interviewed,NORTHERN FL. REC. CENTER,LAKE BUTLER,FLORIDA,
2009-02-12 00:00:00,United States Citizen Interviewed,TEHAMA COUNTY JAIL,RED BLUFF,CALIFORNIA,
2009-02-18 00:00:00,United States Citizen Interviewed,SAFFORD FED.CORR.INST.,SAFFORD,ARIZONA,
2009-03-03 00:00:00,United States Citizen Interviewed,BERGEN COUNTY JAIL,HACKENSACK,NEW JERSEY,
2009-03-04 00:00:00,United States Citizen Interviewed,MORRIS COUNTY JAIL,MORRISTOWN,NEW JERSEY,
2009-03-07 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2009-03-09 00:00:00,United States Citizen Interviewed,COOK COUNTY JAIL,CHICAGO,ILLINOIS,
2009-03-26 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL/SOUTH,FRESNO,CALIFORNIA,
2009-03-30 00:00:00,United States Citizen Interviewed,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
2009-03-31 00:00:00,United States Citizen Interviewed,FL DEPT OF CORRECTIONS,TALLAHASSEE,FLORIDA,
2009-04-01 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2009-04-06 00:00:00,United States Citizen Interviewed,COLO DEPT OF CORRECTIONS,COLORADO SPRINGS,COLORADO,
2009-04-13 00:00:00,United States Citizen Interviewed,PINAL COUNTY JAIL,FLORENCE,ARIZONA,
2009-04-17 00:00:00,United States Citizen Interviewed,CALIF. INST. FOR MEN/WEST,CHINO,CALIFORNIA,
2009-05-04 00:00:00,United States Citizen Interviewed,SACRAMENTO COUNTY JAIL,SACRAMENTO,CALIFORNIA,
2009-05-05 00:00:00,United States Citizen Interviewed,CALIPATRIA STATE PRISON,CALIPATRIA,CALIFORNIA,
2009-05-09 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-05-21 00:00:00,United States Citizen Interviewed,USP CANAAN,WAYMART,PENNSYLVANIA,
2009-05-26 00:00:00,United States Citizen Interviewed,"LEHIGH COUNTY JAIL, PA",ALLENTOWN,PENNSYLVANIA,
2009-05-27 00:00:00,United States Citizen Interviewed,WASECA FED.CORR.INST.,WASECA,MINNESOTA,
2009-05-28 00:00:00,United States Citizen Interviewed,"LEHIGH COUNTY JAIL, PA",ALLENTOWN,PENNSYLVANIA,
2009-05-28 00:00:00,United States Citizen Interviewed,RJ DONOVAN CORREC FAC,SAN DIEGO,CALIFORNIA,
2009-05-28 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-05-29 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-06-01 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2009-06-15 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-06-19 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2009-06-19 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2009-06-19 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2009-06-19 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-06-19 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2009-06-22 00:00:00,United States Citizen Interviewed,JEROME COUNTY JAIL,JEROME,IDAHO,
2009-06-25 00:00:00,United States Citizen Interviewed,ARLINGTON CO JAIL,ARLINGTON,VIRGINIA,
2009-06-29 00:00:00,United States Citizen Interviewed,NEBRASKA DEPT OF CORRECTI,LINCOLN,NEBRASKA,
2009-07-01 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-07-08 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-07-08 00:00:00,United States Citizen Interviewed,REEVES COUNTY DET. CENTER,PECOS,TEXAS,
2009-07-10 00:00:00,United States Citizen Interviewed,OAKDALE FED.DET.CENTER,OAKDALE,LOUISIANA,
2009-07-16 00:00:00,United States Citizen Interviewed,VARICK STREET SPC,NEW YORK,NEW YORK,
2009-07-22 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-08-06 00:00:00,United States Citizen Interviewed,HALL CO JAIL,GAINESVILLE,GEORGIA,
2009-08-07 00:00:00,United States Citizen Interviewed,MORGANTOWN FED.CORR.INST.,MORGANTOWN,WEST VIRGINIA,
2009-08-21 00:00:00,United States Citizen Interviewed,RAY BROOK FED.CORR.INST.,RAY BROOK,NEW YORK,
2009-08-24 00:00:00,United States Citizen Interviewed,CENTRAL CA WOMEN'S FACILI,CHOWCHILLA,CALIFORNIA,
2009-09-02 00:00:00,United States Citizen Interviewed,BSCC CEDAR HILL UNIT,BIG SPRING,TEXAS,
2009-09-03 00:00:00,United States Citizen Interviewed,LOS ANGELES COUNTY JAIL-TWIN TOWER,LOS ANGELES,CALIFORNIA,
2009-09-14 00:00:00,United States Citizen Interviewed,EL DORADO COUNTY JAIL,PLACERVILLE,CALIFORNIA,
2009-09-17 00:00:00,United States Citizen Interviewed,DADE COUNTY CORRECTIONAL,MIAMI,FLORIDA,
2009-09-17 00:00:00,United States Citizen Interviewed,LEXINGTON A&R,LEXINGTON,OKLAHOMA,
2009-09-21 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2009-09-21 00:00:00,United States Citizen Interviewed,ORANGE COUNTY JAIL,SANTA ANA,CALIFORNIA,
2009-09-28 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2009-10-05 00:00:00,United States Citizen Interviewed,"ULSTER CF, NAPANOCH",NAPANOCH,NEW YORK,
2009-10-06 00:00:00,United States Citizen Interviewed,SCC/JAMESTOWN,JAMESTOWN,CALIFORNIA,
2009-10-13 00:00:00,United States Citizen Interviewed,DEUEL VOCATIONAL INSTITUT,TRACY,CALIFORNIA,
2009-10-15 00:00:00,United States Citizen Interviewed,SAN FRANCISCO CO JAIL,SAN FRANCISCO,CALIFORNIA,
2009-10-26 00:00:00,United States Citizen Interviewed,"INDIANA CC, PLAINFIELD,IN",PLAINFIELD,INDIANA,
2009-11-08 00:00:00,United States Citizen Interviewed,MARICOPA COUNTY JAIL,PHOENIX,ARIZONA,
2009-11-10 00:00:00,United States Citizen Interviewed,DEUEL VOCATIONAL INSTITUT,TRACY,CALIFORNIA,
2009-11-14 00:00:00,United States Citizen Interviewed,SAN FRANCISCO CO JAIL,SAN FRANCISCO,CALIFORNIA,
2009-11-16 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2009-11-16 00:00:00,United States Citizen Interviewed,FORSYTH COUNTY JAIL,WINSTON-SALEM,NORTH CAROLINA,
2009-11-19 00:00:00,United States Citizen Interviewed,NM WOMEN'S CORR. FACILITY,GRANTS,NEW MEXICO,
