pvt_facility,state,capacity,det_facility
,,,"G ROBERT COTTON,JACKSON"
,,,GA BAPTIST CHILDREN HOME
,,,GADSDEN COUNTY JAIL
,,,GAGE COUNTY JAIL
,,,GAINES COUNTY SHERIFF
,,,GALENA PARK POLICE DEPT.
,,,GALLATIN COUNTY JAIL
,,,GALVESTON COUNTY JUVENILE
,,,GALVESTON COUNTY SHERIFF
,,,GANADO POLICE DEPT.
,,,GANDERHILL
,,,"GARDEN CO, NE, JAIL"
,,,GARDENA POLICE DEPT.
,,,GARFIELD COUNTY JAIL
,,,"GARFIELD COUNTY, ENID OK"
,,,GARFIELD HGTS CITY JAIL
,,,GARLAND COUNTY SHERIFF'S DEPT
,,,GARLAND POLICE DEPT.
,,,GARNER CORR INST
,,,GARVIN COUNTY JAIL
,,,GARZA COUNTY JAIL
,,,GARZA WEST TRANSFER FACILITY
,,,GASTON COUNTY JAIL
,,,GATES CORR INST
,,,GEARY COUNTY JAIL
,,,GEAUGA COUNTY JAIL
,,,GEIGER CORRECTIONS CENTER
,,,GEM COUNTY JAIL
,,,"GENESEE CO., FLINT, MI."
,,,GENESEE COUNTY JAIL
,,,GENEVA CITY JAIL
,,,GENEVA COUNTY JAIL
,,,GEO WESTERN REG. DET. FAC.
,,,GEORGE BAILEY DETENT FACI
,,,GEORGE COUNTY REGIONAL C.F.
,,,GEORGE WEST POLICE DEPT.
,,,GEORGE-GREENE COUNTY REG. COR. FAC
,,,GEORGETOWN COUNTY DET CENTER
,,,GEORGIA DEPT OF CORRECTIO
,,,GEORGIA DIAG & CLASS STATE PRISON
,,,GERMANTOWN POLICE DEPT.
,,,GIBSON COUNTY JAIL
,,,GIDDINGS POLICE DEPT.
,,,GILA COUNTY JAIL
,,,GILA COUNTY JUVENILE DET CENTER
,,,GILCHRIST COUNTY JAIL
,,,GILES COUNTY SHERIFF
,,,GILLIAM YOUTH CENTER
,,,GILLISPIE CTY JAIL
,,,GILMER COUNTY DET. CENTER
,,,GILPIN COUNTY SHERIFF
,,,GLADES CO. DETENTION CENTER FEMALE
,,,GLADES CORRECTIONAL
,,,GLADES COUNTY DETENTION CENTER
,,,GLASSCOCK COUNTY SHERIFF
,,,GLEN ELLYN POLICE DEPT.
,,,GLEN HELEN DETENTION CTR.
,,,GLENDALE CITY JAIL
,,,GLENDALE HEIGHTS POLICE DEPT.
,,,GLENDALE POLICE DEPT
,,,GLENDALE POLICE DEPT.
,,,GLENDORA POLICE DEPT.
,,,GLENN COUNTY JAIL
,,,GLENN HEIGHTS POLICE DEPT.
,,,GLOUCESTER COUNTY JAIL
,,,GLYNN COUNTY DETENTION CENTER
,,,GOGEBIC COUNTY JAIL
,,,GOLIAD COUNTY SHERIFF
,,,GONZALES COUNTY JAIL
,,,GOODHUE COUNTY JAIL
,,,GOODING COUNTY JAIL
,,,GOOSE CREEK CORRECTIONAL CENTER
,,,GORDON COUNTY SHERIFF
,,,GOSHEN COUNTY JAIL
,,,GOSHEN SECURE CENTER - JUVENILE
,,,GOUVERNEUR CORRECTIONAL
,,,GOWANDA CF
,,,"GR RAPIDS COR CEN, GR,MI"
,,,GRADY COUNTY SHERIFF
,,,"GRADY COUNTY, CHICKASHA"
,,,GRAFTON CORRECTIONAL
,,,GRAHAM CO JAIL SAFFORD AZ
,,,GRAHAM CORRECTIONS
,,,GRAHAM COUNTY JAIL
,,,GRAHAM COUNTY SHERIFF/JAIL
,,,GRAINGER COUNTY JAIL
,,,GRAND COUNTY JAIL
,,,GRAND FORKS COUNTY CORREC
,,,GRAND FORKS HOLD ROOM
,,,GRAND ISLAND HOLD ROOM
,,,GRAND MESA YOUTH SVCS
,,,GRAND PRAIRIE CITY JAIL
,,,"GRAND TRAVERSE CO.,G.T.MI"
,,,GRANDVIEW POLICE DEPT
,,,GRANDVIEW POLICE DEPT.
,,,"GRANT CO. JAIL, SD"
,,,GRANT COUNTY
,,,GRANT COUNTY DETENTION CENTER
,,,GRANT COUNTY JAIL
,,,GRANT COUNTY SHERIFF
,,,GRANT DETENTION CENTER
,,,GRANT PARISH DETENTION CENTER
,,,GRANVILLE COUNTY JAIL
,,,GRAPEVINE POLICE DEPT.
,,,GRAVES COUNTY DETENTION CENTER
,,,GRAY COUNTY JAIL
,,,GRAY COUNTY SHERIFF
,,,GRAYS HARBOR COUNTY JAIL
,,,GRAYSON COUNTY DET CENTER (FEMALE)
,,,GRAYSON COUNTY DETENTION CENTER
,,,GRAYSON COUNTY JAIL
,,,GRDN STATE RECEPTION CTR
,,,GREAT MEADOW C.F.
,,,GREELEY COUNTY SHERIFF/JAIL
,,,GREEN COUNTY JAIL
,,,GREEN COUNTY SHERIFF
,,,"GREEN HAVEN,STORMVILLE,NY"
,,,GREEN HILL SCHOOL
,,,GREEN LAKE COUNTY SHERIFF
,,,GREEN RIVER CORR COMPLEX
,,,GREENBAY CORRECTIONAL FAC
,,,GREENE C.F. COXSACKLE
,,,GREENE COUNTY JAIL
,,,GREENE COUNTY SHERIFF
,,,"GREENE COUNTY SHERIFF, TN"
,,,GREENFIELD HOUSE OF CORR.
,,,GREENLEE COUNTY SHERIFF/JAIL
,,,GREENROCK CORR. CENTER
,,,GREENVILLE COUNTY DET CENTER
,,,GREENVILLE FCI
,,,GREENWOOD COUNTY DET CENTER
,,,GREENWOOD POLICE DEPT.
,,,GREGG COUNTY SHERIFF'S
,,,GRENADA COUNTY JAIL
,,,GRETNA POLICE DEPT. JAIL
,,,GRIMES COUNTY SHERIFF'S DEPT.
,,,GROSSE POINTE FARMS POLICE DEPT.
,,,GROVELAND C.F. SONYEA
,,,GROVES POLICE DEPT.
,,,GROVETON POLICE DEPT.
,,,GRUNDY COUNTY SHERIFF/JAIL
,,,GUADALUPE COUNTY COR. FACILITY
,,,GUADALUPE COUNTY JUVENILE D.F.
,,,GUAM POLICE DEPT
,,,GUAYAMA REGIONAL JAIL
,,,GUAYNABO MDC (SAN JUAN)
,,,GUERNSEY COUNTY JAIL
,,,GUERRERO PENAL INST.
,,,GUILFORD COUNTY JAIL
,,,GULF CORR. INSTITUTION-ANNEX
,,,GULF CORRECTIONAL INSTITUTION
,,,GULF COUNTY JAIL
,,,GULF SHORES POL. DEPT. CORR.
,,,GUNNISON COUNTY JAIL
,,,GUNTERSVILLE CITY JAIL
,,,GURNEE POLICE DEPT.
,,,GURNEY TRANSFER FACILITY
,,,"GUS HARRISON, ADRIAN,MI"
,,,GUTHRIE COUNTY SHERIFF'S OFFICE
,,,GWINNETT COUNTY JAIL
,,,HABERSHAM COUNTY SHERIFF
,,,HAILE DET. CENTER
,,,HALAWA MED SECURITY FAC
,,,HALE COUNTY JAIL
,,,HALE COUNTY SHERIFF
,,,HALECREEK CORRECTIONAL
,,,HALIFAX COUNTY JAIL
,,,HALL CO JAIL
,,,HALL COUNTY JAIL
,,,HALL COUNTY SHERIFF
,,,HALTOM CITY JAIL
,,,HAMBLEN COUNTY JAIL
,,,HAMDEN POLICE DEPT
,,,HAMILTON CO. JAIL (TENN)
,,,HAMILTON CORR. INST.-ANNEX
,,,HAMILTON CORRECTIONAL INSTITUTION
,,,HAMILTON COUNTY JAIL
,,,"HAMILTON COUNTY JAIL, NEB"
,,,HAMMOND PD CITY JAIL
,,,HAMPDEN CO.HOUSE OF CORR.
,,,HAMPSHR CNTY NORTHAMPTON
,,,HAMPTON CITY JAIL
,,,HAMPTON COUNTY DET CENTER
,,,HAMPTON POLICE DEPT.
,,,HAMPTON ROADS REGIONAL JAIL
,,,HAMTRAMCK POLICE DEPT.
,,,HANCOCK COUNTY JAIL
,,,"HANDLON MI TRAINING,IONIA"
,,,HANOVER PARK POLICE DEPT.
,,,HANSFORD COUNTY SHERIFF
,,,HARALSON COUNTY SHERIFF
,,,HARDEE CORRECTIONAL INSTITUTION
,,,HARDEE COUNTY JAIL
,,,HARDEMAN CORRECTIONAL CTR
,,,HARDEMAN COUNTY JAIL
,,,HARDIN CO JAIL
,,,HARDIN COUNTY DET. CENTER
,,,HARDIN COUNTY JAIL
,,,HARFORD COUNTY DETENTION
,,,HARLAN COUNTY JAIL
,,,HARLINGEN HOLD ROOM
,,,HARLINGEN POLICE DEPT.
,,,HARLINGEN STAGING FACILITY
,,,HARNEY COUNTY JAIL
,,,HARPER COUNTY JAIL
,,,HARRIS COUNTY JAIL
,,,HARRIS COUNTY JUVENILE
,,,HARRISON COUNTY JAIL
,,,HARRISON DETENTION CENTER
,,,HARRISONBURG HOLD ROOM
,,,HART COUNTY DETENTION CENTER
,,,HART COUNTY SHERIFF
,,,HARTFORD CORR CENTER
,,,HARTFORD OFFICE
,,,HARTFORD POLICE DEPT.
,,,HARTLEY COUNTY SHERIFF
,,,HARTNETT COUNTY JAIL
,,,HARVEY COUNTY JAIL
,,,HARVEY POLICE DEPT.
,,,HASKELL COUNTY SHERIFF
,,,HASKELL COUNTY SHERIFF/JAIL
,,,HAWAII CO PD - HILO
,,,HAWAII CO PD - KAILUA-KONA
,,,HAWAII COMMUNITY CORR CTR
,,,HAWKINS COUNTY JAIL
,,,HAWTHORNE POLICE DEPT.
,,,HAYS COUNTY JUVENILE CENTER
,,,HAYS CTY JAIL
,,,HAYWOOD COUNTY JAIL
,,,HAZELWOOD POLICE DEPT
,,,HEARD COUNTY SHERIFF
,,,HEARNE POLICE DEPT.
,,,HEARTLAND INTERNATIONAL YOUTH CTR
,,,HEDWIG POLICE DEPT.
,,,HEL DISTRICT CUSTODY
,,,HEMPHILL COUNTY SHERIFF
,,,HEMPSTEAD COUNTY JAIL
,,,HEMPSTEAD POLICE DEPT.
,,,HENDERSON CO DET CENTER
,,,HENDERSON COUNTY DET. FAC.
,,,HENDERSON COUNTY JAIL
,,,HENDERSON DETENTION
,,,HENDRICKS COUNTY SHERIFF/JAIL
,,,HENDRY COUNTY JAIL
,,,HENNEPIN CO. MEDICAL CENT
,,,HENNEPIN COUNTY ADC
,,,HENNEPIN COUNTY JUVENILE
,,,HENNIPEN COUNTY WORKHOUSE
,,,HENRICO COUNTY JAIL
,,,HENRY CO JAIL
,,,HENRY COUNTY JAIL
,,,HENRY COUNTY SHERIFF
,,,HERKIMER COUNTY JAIL
,,,HERMAN G. STARKS YTS
,,,HERMOSA BEACH POLICE DEPT.
,,,HERNANDO COUNTY JAIL
,,,HERTFORD COUNTY JAIL
,,,HICKMAN COUNTY DETENTION CENTER
,,,HICKMAN COUNTY SHERIFF
,,,HIDALGO COUNTY DETENTION CENTER
,,,HIDALGO COUNTY JAIL
,,,HIDALGO POLICE DEPT.
,,,HIGH DESERT STATE PRISON
,,,"HIGH PLAINS CENTER, CO"
,,,HIGHLAND MTN COR CTR
,,,HIGHLAND PARK DPS
,,,HIGHLANDS COUNTY JAIL
,,,"HILL CORR., GALESBURG, IL"
,,,HILL COUNTY JUSTICE CENTER
,,,HILL COUNTY SHERIFF'S DEPT.
,,,HILLCREST YOUTH C.F.
,,,HILLSBOROUGH COUNTY JAIL
,,,HILLSDALE COUNTY JAIL
,,,HILSBOROUGH CORRECTIONAL
,,,HINDS CO. DETENTION CENTER
,,,HITCHCOCK POLICE DEPT.
,,,HOBART POLICE DEPT.
,,,HOBBS CITY JAIL
,,,HOCKING CORRECTIONAL
,,,HOCKLEY COUNTY JAIL
,,,HODGEMAN COUNTY JAIL
,,,HOFFMAN ESTATES POLICE DEPT.
,,,HOGARES CREA-SAN JOSE
,,,HOKE COUNTY JAIL
,,,"HOLLAND PD, HOLLAND,MI."
,,,HOLLIDAY TRANSFER UNIT
,,,HOLMES CORRECTIONAL INSTITUTION
,,,HOLMES COUNTY JAIL
,,,HOLT COUNTY JAIL
,,,HOMESTEAD CORRECTIONAL INSTITUTION
,,,HOMEWOOD POLICE DEPARTMENT
,,,HONOLULU FEDERAL DETENTION CENTER
,,,HONOLULU POLICE DEPT CELL
,,,HONOLULU SHERIFF DEPT.
,,,HOOD COUNTY SHERIFF'S DEPT.
,,,HOOD RIVER CO. JAIL
,,,HOOVER CITY JAIL
,,,HOPKINS COUNTY JAIL
,,,HORRY COUNTY-J RUBEN LONG DET CEN
,,,HOT SPRING COUNTY JAIL
,,,HOT SPRINGS COUNTY JAIL
,,,HOUGHTON COUNTY JAIL
,,,HOUSTON CONTRACT DET.FAC.
,,,HOUSTON COUNTY DETENTION CENTER
,,,HOUSTON COUNTY JAIL
,,,HOUSTON COUNTY SHERIFF
,,,HOUSTON FO HOLDROOM
,,,HOUSTON POLICE DEPT.
,,,HOUSTON POLICE DEPT. (SOUTHEAST)
,,,HOWARD COUNTY DET CNTR
,,,HOWARD COUNTY JAIL
,,,HOWARD COUNTY SHERIFF
,,,HOWARD COUNTY SHERIFF/JAIL
,,,HOWELL COUNTY SHERIFF
,,,HUBBARD COUNTY JAIL
,,,HUDSON C.F. HUDSON NY
,,,HUDSON COUNTY JAIL
,,,HUDSPETH COUNTY JAIL
,,,HUERFANO COUNTY JAIL
,,,HUGHES CO. JAIL
,,,HUMBLE POLICE DEPT.
,,,HUMBOLDT CO JAIL
,,,HUMBOLDT COUNTY JAIL
,,,HUMPHREYS COUNTY SHERIFF
,,,HUNT CO.JUVENILE DET CTR
,,,HUNT CORR INSTITUTE
,,,HUNT COUNTY SHERIFF & JAIL
,,,HUNTERDON COUNTY JAIL
,,,HUNTINGDON CNTY JAIL
,,,HUNTINGTON CITY JAIL
,,,HUNTINGTON COUNTY JAIL
,,,HUNTINGTON PARK POLICE DEPT.
,,,HUNTSVILLE POLICE DEPT.
,,,HUNTSVILLE STATE P.
,,,"HURON CO, BAD AXE, MI."
,,,HURON COUNTY JAIL
,,,HURST CITY JAIL
,,,HUTCH. CORR. FACILITY
,,,HUTCHINSON COUNTY SHERIFF
,,,HUTTO CCA
,,,HUTTONSVILLE CORREC. CTR
,,,IA DEPT OF CORRECTIONS HQ
,,,IBERIA PARISH JAIL
,,,IBERVILLE PARISH JAIL
,,,ICA - FARMVILLE
,,,IDA COUNTY JAIL
,,,IDABEL CITY JAIL
,,,IDAHO COUNTY JAIL
,,,IDAHO STATE CORR. FAC.-LIMITED
,,,"IDAHO STATE PRISON, BOISE"
,,,IDOC LAKESIDE CORREC. FACILITY
,,,ILLINOIS RIVER CORRECTION
,,,IMPERIAL COUNTY JAIL
,,,IMPERIAL COUNTY JUVENILE
,,,IMPERIAL REGIONAL ADULT DET FAC
,,,IN DEPT. OF CORRECTIONS
,,,INDEPENDENCE COUNTY JAIL
,,,INDEPENDENCE POLICE DEPT.
,,,INDIAN CREEK CORR CENTER
,,,INDIAN CREEK CORRECTIONAL CENTER
,,,INDIAN RIVER CORR. INSTITUTION
,,,INDIAN RIVER COUNTY JAIL
,,,"INDIANA CC, PLAINFIELD,IN"
,,,INDIANA REC.& DIAGNOSTIC
,,,INDIANA WOMENS PRISON
,,,INDIANAPOLIS HOLD ROOM
,,,INDIO JAIL - RIVERSIDE COUNTY
,,,INGHAM COUNTY JAIL
,,,INGLEWOOD POLICE DEPT.
,,,INS DISTRICT OFFICE
,,,"INS/WACKENHUT CON/FAC, NY"
,,,INST. REGIONAL DEL SUR
,,,INTERNATIONAL EDU SVC-LOS FRESNOS
,,,INYO COUNTY JAIL
,,,"IONIA CO., IONIA, MI."
,,,"IONIA TEMP, IONIA,MI"
,,,"IOSCO CO., TAWAS, MI."
,,,IOWA COUNTY JAIL
,,,IOWA COUNTY SHERIFF
,,,IOWA MEDICAL CLASSIF CTR
,,,IOWA STATE PENITENTIARY
,,,IREDELL COUNTY JAIL
,,,IRON COUNTY SHERIFF
,,,IRON COUNTY SHERIFF/JAIL
,,,"IRON COUNTY, UT STATE COR"
,,,IRONWOOD STATE PRISON
,,,IRVINE POLICE DEPT.
,,,IRVING POLICE DEPT.
,,,IRWIN COUNTY DETENTION CENTER
,,,IRWINDALE POLICE DEPT.
,,,ISABELLA COUNTY JAIL
,,,ISANTI COUNTY JAIL
,,,ISLAND COUNTY JAIL
,,,ISSAQUAH CITY JAIL
,,,ISSAQUENA COUNTY SHERIFF
,,,ITASCA COUNTY JAIL
,,,ITASCA POLICE DEPT.
,,,"J. BRANNON CC, MCALESTER,"
,,,"J. CRABTREE CC HELENA, OK"
,,,"J. HARP CC, LEXINGTON"
,,,"J. LILLEY CC, BOLEY, OK"
,,,JACINTO CITY POLICE DEPT.
,,,JACK COUNTY JAIL
,,,JACK HARWELL DETENTION CENTER
,,,JACKSON CO JAIL
,,,"JACKSON CO. JAIL, WI"
,,,"JACKSON CO., JACKSON,MI"
,,,JACKSON CORRECTIONAL INSTITUTE
,,,JACKSON CORRECTIONAL INSTITUTION
,,,"JACKSON COUNTY DET CTR,KS"
,,,JACKSON COUNTY JAIL
,,,JACKSON COUNTY JUVENILE
,,,JACKSON COUNTY L.E.C.
,,,JACKSON COUNTY SHERIFF
,,,JACKSON COUNTY SHERIFF/JAIL
,,,JACKSON PARISH JAIL
,,,"JACKSON ST.PR.,JACKSON,MI"
,,,JACKSONVILLE CORRECTIONAL
,,,JACKSONVILLE CORRECTIONAL CENTER
,,,JACKSONVILLE POLICE DEPT.
,,,JACKSONVILLE SUB-OFFICE
,,,JAL CITY JAIL
,,,JAMES A MUSICK FACILITY
,,,JAMES H. BYRD FACILITY
,,,JASPER CITY JAIL
,,,JASPER CO JAIL
,,,JASPER COUNTY DET CENTER
,,,JASPER COUNTY JAIL
,,,JASPER COUNTY SHERIFF
,,,JASPER COUNTY SHERIFF/JAIL
,,,JASPER POLICE DEPT.
,,,JAY COUNTY JAIL
,,,JEFF DAVIS COUNTY SHERIFF
,,,JEFFERSON CO JAIL
,,,"JEFFERSON CO. JAIL, PA."
,,,JEFFERSON CORRECTIONAL INSTITUTION
,,,JEFFERSON COUNTY DET. FAC.
,,,JEFFERSON COUNTY JAIL
,,,JEFFERSON COUNTY JAIL    .
,,,JEFFERSON COUNTY SHERIFF
,,,JEFFERSON DAVIS COR. CENTER
,,,JEFFERSON DAVIS COUNTY JAIL
,,,JEFFERSON HILLS
,,,JEFFERSON PARISH COR. CENTER
,,,JENA/LASALLE DETENTION FACILITY
,,,JENKINS COUNTY SHERIFF
,,,JENNINGS CITY JAIL
,,,JEROME COUNTY JAIL
,,,JERSEY COUNTY SHERIFF
,,,JERSEY VILLAGE POLICE DEPT.
,,,"JESS DUNN, TAFT, OK"
,,,JESSUP COR. FAC.
,,,JESUP FED.CORR.INST.
,,,JIM HOGG COUNTY SHERIFF
,,,JIM WELLS COUNTY SHERIFF
,,,JO DAVIESS COUNTY JAIL
,,,JOE NEY SA (HF/85)
,,,JOHN THE BAPTIST PAR.JAIL
,,,JOHNSON CO AIRPORT ADC
,,,JOHNSON CO SHERIFF'S DEPT
,,,JOHNSON COUNTY JAIL
,,,JOHNSON COUNTY JUVENILE
,,,JOHNSON COUNTY SHERIFF
,,,JOHNSON COUNTY SHERIFF/JAIL
,,,JOHNSTON COUNTY DETENTION CENTER
,,,JOLIET CORRECTIONAL INST.
,,,JONES COUNTY ADULT DET. FACILITY
,,,JONES COUNTY JAIL
,,,JONES COUNTY SHERIFF
,,,JONES COUNTY SHERIFF/JAIL
,,,JOPLIN CITY JAIL
,,,JOSEPHINE CO. JAIL
,,,JUAB COUNTY JAIL
,,,JUNEAU COUNTY SHERIFF
,,,JUNIATA COUNTY PRISON
,,,JUVENILE CENTER
,,,JUVENILE JUSTICE CENTER
,,,KALAMAZOO CO.KALAMAZOO.MI
,,,"KALKASKA CO.,KALKASKA,MI"
,,,KANABEC COUNTY JAIL
,,,KANDIYOHI CO. JAIL
,,,KANE COUNTY JAIL
,,,KANKAKEE COUNTY JAIL
,,,KANSAS CITY HOLDROOM
,,,KANSAS CITY POLICE DEPT.
,,,KARNES COUNTY CIVIL DET. FACILITY
,,,KARNES CTY CORR CTR
,,,KATY POLICE DEPT.
,,,KAUAI COMMUNITY CORR CTR
,,,KAUAI POLICE DEPT.
,,,KAUFMAN COUNTY SHERIFF'S DEPT
,,,KAY COUNTY SHERIFF/JAIL
,,,KEARNEY COUNTY JAIL
,,,KEARNY COUNTY JAIL
,,,KEENE POLICE DEPT.
,,,KEITH COUNTY JAIL
,,,KELLER POLICE DEPT.
,,,KEMAH POLICE DEPT.
,,,KENDALL COUNTY JAIL
,,,KENDALL COUNTY SHERIFF
,,,KENNEBEC COUNTY JAIL
,,,KENNER POLICE DEPT. JAIL
,,,KENNESAW CITY JAIL
,,,KENOSHA COUNTY JAIL
,,,KENOSHA COUNTY PRE-TRIAL FACILITY
,,,KENOSHA COUNTY SHERIFF'S DEPT
,,,KENT CITY JAIL
,,,KENT CO. DET. CENTER
,,,"KENT CO.,GRAND RAPIDS,MI"
,,,KENT COUNTY SHERIFF/JAIL
,,,KENTON COUNTY JAIL
,,,KENTUCKY ST REFORMATORY
,,,KEOKUK COUNTY JAIL
,,,KERN COUNTY JAIL (LERDO)
,,,KERR COUNTY JAIL
,,,KERR COUNTY JDC
,,,KERSHAW COUNTY DET CENTER
,,,KETCHIKAN REGIONAL CC
,,,KETTLE MORAINE CORR. FAC.
,,,KEWAUNEE COUNTY SHERIFF
,,,KEWEENAW COUNTY SHERIFF/JAIL
,,,KILBY CORRECTIONAL FACILITY
,,,KILLEEN POLICE DEPT.
,,,KIMBALL COUNTY JAIL
,,,KIMBLE COUNTY JAIL
,,,KING COUNTY ADULT JAIL
,,,KING COUNTY SHERIFF
,,,KINGFISHER COUNTY SHERIFF/JAIL
,,,KINGMAN COUNTY JAIL
,,,KINGS COUNTY HOSPITAL
,,,KINGS COUNTY JAIL
,,,KINGSPORT POLICE DEPT.
,,,KINNEY COUNTY JAIL
,,,"KINROSS CORREC-KINROSS,MI"
,,,KIOWA COUNTY JAIL
,,,KIRKLWA
,,,KIRKWOOD POLICE DEPT.
,,,KIT CARSON COUNTY
,,,KITSAP COUNTY JAIL
,,,KITSAP COUNTY JUVENILE CENTER
,,,KITTITAS COUNTY JAIL
,,,KITTSON CO. JAIL
,,,KLAMATH CO JAIL
,,,KLEBERG COUNTY SHERIFF
,,,KLICKITAT COUNTY
,,,KNOX COUNTY JAIL
,,,KNOX COUNTY SHERIFF
,,,KNOXVILLE HOLD ROOM
,,,KNOXVILLE POLICE DEPT
,,,KODIAK CITY JAIL
,,,KOOTENAI COUNTY
,,,KOSCIUSKO COUNTY JAIL
,,,KOSSUTH COUNTY JAIL
,,,KROME NORTH SPC
,,,KROME/MIAMI HUB
,,,L.M.DEBERRY SPEC.NEED FAC.
,,,LA CORR INST FOR WOMEN
,,,LA FERIA POLICE DEPT.
,,,LA GRANGE POLICE DEPT.
,,,LA HABRA POLICE DEPT.
,,,LA JOYA POLICE DEPT.
,,,LA MARQUE POLICE DEPT.
,,,LA PALMA POLICE DEPT.
,,,LA PAZ COUNTY ADULT DET. FAC.
,,,LA PLATA COUNTY JAIL
,,,LA PORTE COUNTY SHERIFF/JAIL
,,,LA PORTE POLICE DEPT.
,,,LA SALLE CO REGIONAL DET. CENTER
,,,LA STATE PENITENTIARY
,,,LA TUNA FCI
,,,"LA TUNA FEDERAL SATTELITE, LOW"
,,,LA VERNE POLICE DEPT.
,,,LAC QUI PARLE COUNTY JAIL
,,,"LACKAWANA CNTY JAIL, PA"
,,,LACLEDE COUNTY JAIL
,,,LACROSSE COUNTY SHERIFF
,,,LADUE POLICE DEPT.
,,,LAFAYETTE COUNTY JAIL
,,,LAFAYETTE COUNTY SHERIFF
,,,"LAFAYETTE COUNTY, MS"
,,,LAFAYETTE PARISH CORR CNT
,,,LAFFAYETTE SHERIFF'S LOCK
,,,LAFOURCHE PARISH JAIL
,,,LAGUNA BEACH CITY JAIL
,,,LAKE CITY CORRECTIONAL INSTITUTION
,,,"LAKE CO, BALDWIN,MI"
,,,LAKE CORRECTIONAL
,,,LAKE COUNTY JAIL
,,,LAKE ERIE CORRECTIONAL
,,,LAKE ERIE CORRECTIONAL FACILITY
,,,LAKE JACKSON POLICE DEPT.
,,,LAKE OF THE WOODS COUNTY JAIL
,,,LAKE WORTH POLICE DEPT.
,,,LAKE ZURICH POLICE DEPT.
,,,"LAKELAND CORR COLDWATER,M"
,,,LAKEVIEW CORRECTIONAL
,,,LAKEWOOD CITY JAIL
,,,LALBERT SUBS ABUSE FACILI
,,,LAMAR CO JAIL
,,,LAMAR COUNTY DETENTION FACILITY
,,,LAMAR COUNTY JAIL
,,,LAMB COUNTY SHERIFF
,,,LAMOILLE JAIL/BURLINGTON
,,,LAMPASAS COUNTY JAIL
,,,"LANCASTER CNTY JAIL, PA"
,,,LANCASTER CO. JUVENILE
,,,LANCASTER COUNTY DET CENTER
,,,LANCASTER COUNTY JAIL
,,,LANCASTER HOC
,,,LANCASTER STATE PRISON
,,,LANDER COUNTY JAIL
,,,LANE CO JAIL
,,,LANGLADE COUNTY SHERIFF
,,,LANIER COUNTY SHERIFF
,,,LANSING STATE PEN.
,,,"LAPEER CO., LAPEER. MI."
,,,LARAMIE COUNTY JAIL
,,,LARCH CORRECTIONS CENTER
,,,LAREDO DETENTION CENTER HOLD ROOM
,,,LAREDO PROCESSING CENTER
,,,LARIMER COUNTY JAIL
,,,LARKIN HOSPITAL
,,,LARNED CORR. MENT. HEALTH
,,,LARUE COUNTY
,,,LAS ANIMAS COUNTY JAIL
,,,LAS COLINAS DET/REENTRY FACILITY
,,,LAS COLINAS WOMEN DET FAC
,,,LAS VEGAS CITY JAIL
,,,LAS VEGAS HOLD ROOM
,,,LAS VEGAS METRO POLICE DEPT.
,,,LASALLE COUNTY JAIL
,,,LASALLE PARISH CORRECT.CTR
,,,LATAH COUNTY JAIL
,,,LATIMER COUNTY SHERIFF/JAIL
,,,LAUDERDALE COUNTY DET. CENTER
,,,LAUDERDALE COUNTY JAIL
,,,LAUREL COUNTY SHERIFF'S JAIL
,,,LAUREL RIDGE TREATMENT CTR
,,,LAURENS COUNTY SHERIFF
,,,LAURENS COUNTY-R E JOHNSON DET CEN
,,,LAVACA COUNTY JAIL
,,,LAW ENF CTR PECOS
,,,LAWRANCE COUNTY JAIL
,,,"LAWRENCE CO. JAIL, SD"
,,,LAWRENCE CORRECTION CENTER
,,,LAWRENCE COUNTY JAIL
,,,LAWRENCE COUNTY SHERIFF
,,,LAWRENCE POLICE DEPT
,,,LAWTON COMMUNITY CORR CTR
,,,LAWTON POLICE DEPT.
,,,"LE SUEUR CO. JAIL, MN"
,,,LEA COUNTY CORR. FAC.
,,,LEA COUNTY JUVENILE D.F.
,,,LEAGUE CITY POLICE DEPT.
,,,LEAKE COUNTY COR. FACILITY
,,,LEAVENWORTH COUNTY JAIL
,,,LEAVENWORTH USP
,,,"LEBANON CNTY JAIL, PA"
,,,LEBANON CORRECTIONAL
,,,LEE COUNTY JAIL
,,,LEE COUNTY SHERIFF
,,,LEE COUNTY SHERIFF/JAIL
,,,LEE'S SUMMIT POLICE DEPT
,,,LEE'S SUMMIT POLICE DEPT.
,,,"LEELANAU CO,LELAND,MI"
,,,LEFLORE COUNTY JAIL
,,,LEFLORE COUNTY SHERIFF/JAIL
,,,"LEHIGH COUNTY JAIL, PA"
,,,LEMHI COUNTY JAIL
,,,"LEMON CREEK, JUNEAU,AK"
,,,LEMUEL SHATTUCK HOSPITAL
,,,"LENAWEE CO,ADRIAN, MI"
,,,LENOIR COUNTY JAIL
,,,LEOMINSTER POLICE DEPT
,,,LEON COUNTY JAIL
,,,LEON COUNTY SHERIFF
,,,LEVY COUNTY JAIL
,,,LEWIS & CLARK COUNTY JAIL
,,,LEWIS COUNTY JAIL
,,,LEWIS COUNTY JUVENILE CENTER
,,,LEWIS COUNTY SHERIFF
,,,LEWISBURG U.S. PEN.
,,,LEWISVILLE POLICE DEPT.
,,,LEXINGTON
,,,LEXINGTON A&R
,,,LEXINGTON COUNTY JAIL
,,,LEXINTON FED.MED CENTER
,,,LIBERTY CORRECTIONAL INSTITUTION
