year,det_facility,city,state,count,det_facility,year,count
2015,NEVADA COUNTY JAIL,PRESCOTT,ARKANSAS,1,NEVADA COUNTY JAIL,2015,3
2015,NEW HAVEN CORR CENTER,NEW HAVEN,CONNECTICUT,2,NEW HAVEN CORR CENTER,2015,1
2015,NYC POLICE DEPARTMENT,NEW YORK,NEW YORK,1,NYC POLICE DEPARTMENT,2015,2
2015,OAKDALE FED.CORR.INST.,OAKDALE,LOUISIANA,1,OAKDALE FED.CORR.INST.,2015,6
2015,OAKDALE FED.DET.CENTER,OAKDALE,LOUISIANA,2,OAKDALE FED.DET.CENTER,2015,22
2015,OKALOOSA COUNTY D.O.C.,CRESTVIEW,FLORIDA,2,OKALOOSA COUNTY D.O.C.,2015,12
2015,OKLAHOMA COUNTY JAIL,OKLAHOMA CITY,OKLAHOMA,24,OKLAHOMA COUNTY JAIL,2015,49
2015,OLMSTED CO. JAIL,ROCHESTER,MINNESOTA,1,OLMSTED CO. JAIL,2015,1
2015,ORANGE COUNTY JAIL,ORLANDO,FLORIDA,2,ORANGE COUNTY JAIL,2015,125
2015,ORANGE COUNTY JAIL,SANTA ANA,CALIFORNIA,7,ORANGE COUNTY JAIL,2015,125
2015,OSCEOLA COUNTY JAIL,KISSIMMEE,FLORIDA,2,OSCEOLA COUNTY JAIL,2015,5
2015,OTERO COUNTY DETENTION,ALAMOGORDO,NEW MEXICO,1,OTERO COUNTY DETENTION,2015,2
2015,OTHER-OTHER FACILITY,,,671,OTHER-OTHER FACILITY,2015,786
2015,PASADENA CITY JAIL,PASADENA,CALIFORNIA,1,PASADENA CITY JAIL,2015,2
2015,PHILADELPHIA 15TH POLICE DIST.,PHILADELPHIA,PENNSYLVANIA,1,PHILADELPHIA 15TH POLICE DIST.,2015,1
2015,PHILADELPHIA 18TH POLICE DIST.,PHILADELPHIA,PENNSYLVANIA,1,PHILADELPHIA 18TH POLICE DIST.,2015,1
2015,PHILADELPHIA DETENTION CT,PHILADELPHIA,PENNSYLVANIA,9,PHILADELPHIA DETENTION CT,2015,1
2015,PIERCE COUNTY JAIL,TACOMA,WASHINGTON,1,PIERCE COUNTY JAIL,2015,12
2015,"PLATTE COUNTY JAIL, NEBR.",COLUMBUS,NEBRASKA,2,"PLATTE COUNTY JAIL, NEBR.",2015,3
2015,POLLOCK F.C.I.,POLLOCK,LOUISIANA,1,POLLOCK F.C.I.,2015,6
2015,POMONA CITY JAIL,POMONA,CALIFORNIA,1,POMONA CITY JAIL,2015,3
2015,PRINCE GEORGES CO DET CEN,UPPER MARLBORO,MARYLAND,10,PRINCE GEORGES CO DET CEN,2015,4
2015,PUTNAM COUNTY C.F.,CARMEL,NEW YORK,1,PUTNAM COUNTY C.F.,2015,1
2015,QUEENS CENTRAL BOOKING,QUEENS,NEW YORK,6,QUEENS CENTRAL BOOKING,2015,2
2015,RACINE COUNTY JAIL,RACINE,WISCONSIN,1,RACINE COUNTY JAIL,2015,4
2015,"RAMSEY ADC ANNEX, SPM",ST PAUL,MINNESOTA,2,"RAMSEY ADC ANNEX, SPM",2015,3
2015,RAMSEY COUNTY JAIL,ST. PAUL,MINNESOTA,2,RAMSEY COUNTY JAIL,2015,5
2015,RICHMOND CENTRAL BOOKING,STATEN ISLAND,NEW YORK,1,RICHMOND CENTRAL BOOKING,2015,1
2015,RICHMOND CITY JAIL,RICHMOND,VIRGINIA,1,RICHMOND CITY JAIL,2015,3
2015,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NEW YORK,12,"RIKERS ISLAND, QUEENS, NY",2015,5
2015,RIVERSIDE COUNTY SHERIFF,RIVERSIDE,CALIFORNIA,11,RIVERSIDE COUNTY SHERIFF,2015,21
2015,ROANOKE COUNTY JAIL,SALEM,VIRGINIA,1,ROANOKE COUNTY JAIL,2015,1
2015,"ROCKLAND CO JAIL,NEW CITY",NEW CITY,NEW YORK,4,"ROCKLAND CO JAIL,NEW CITY",2015,4
2015,SACRAMENTO COUNTY JAIL,SACRAMENTO,CALIFORNIA,19,SACRAMENTO COUNTY JAIL,2015,18
